,@flowId,@jitterSum,@txBytes,@rxBytes,@txPackets,@rxPackets,@lostPackets
0,1,+0ns,336,0,6,0,6
1,2,+0ns,336,0,6,0,6
2,3,+0ns,336,0,6,0,6
3,4,+0ns,336,0,6,0,6
4,5,+0ns,336,0,6,0,6
5,6,+0ns,336,0,6,0,6
6,7,+0ns,336,0,6,0,6
7,8,+0ns,336,0,6,0,6
8,9,+0ns,336,0,6,0,6
9,10,+0ns,336,0,6,0,6
10,11,+0ns,336,0,6,0,6
11,12,+0ns,336,0,6,0,6
12,13,+0ns,336,0,6,0,6
13,14,+0ns,336,0,6,0,6
14,15,+0ns,336,0,6,0,6
15,16,+0ns,336,0,6,0,6
16,17,+0ns,336,0,6,0,6
17,18,+0ns,336,0,6,0,6
18,19,+0ns,336,0,6,0,6
19,20,+0ns,336,0,6,0,6
20,21,+1.18657e+11ns,794749344,794651808,521491,521427,0
21,22,+0ns,336,0,6,0,6
22,23,+0ns,336,0,6,0,6
23,24,+0ns,336,0,6,0,6
24,25,+0ns,336,0,6,0,6
25,26,+1.96276e+11ns,13557132,13556456,260714,260701,12
