,@flowId,@jitterSum,@txBytes,@rxBytes,@txPackets,@rxPackets,@lostPackets
0,1,+0ns,336,0,6,0,5
1,2,+0ns,336,0,6,0,5
2,3,+0ns,336,0,6,0,5
3,4,+0ns,336,0,6,0,5
4,5,+0ns,336,0,6,0,5
5,6,+0ns,336,0,6,0,5
6,7,+0ns,336,0,6,0,5
7,8,+0ns,336,0,6,0,5
8,9,+0ns,336,0,6,0,5
9,10,+0ns,336,0,6,0,5
10,11,+0ns,336,0,6,0,5
11,12,+0ns,336,0,6,0,5
12,13,+0ns,336,0,6,0,5
13,14,+0ns,336,0,6,0,5
14,15,+0ns,336,0,6,0,5
15,16,+0ns,336,0,6,0,5
16,17,+0ns,336,0,6,0,5
17,18,+0ns,336,0,6,0,5
18,19,+0ns,336,0,6,0,5
19,20,+0ns,336,0,6,0,5
20,21,+1.24417e+07ns,199752,199752,133,133,0
21,22,+0ns,336,0,6,0,5
22,23,+0ns,336,0,6,0,5
23,24,+0ns,336,0,6,0,5
24,25,+0ns,336,0,6,0,5
25,26,+1.06787e+07ns,6088,6088,117,117,0
